Degree;Number Points;Mean (std) Distance; Max Distance
1;2;0.0(0.0);0.0
3;6;0.335(0.335);0.547
5;12;0.215(0.215);0.348
7;32;0.164(0.164);0.256
9;48;0.141(0.141);0.261
11;70;0.139(0.139);0.232
13;94;0.125(0.125);0.197
15;120;0.111(0.111);0.187
17;156;0.088(0.088);0.16
19;192;0.078(0.078);0.143
21;234;0.077(0.077);0.143
23;278;0.075(0.075);0.133
25;328;0.066(0.066);0.114
27;380;0.061(0.061);0.114
29;438;0.057(0.057);0.103
31;498;0.06(0.06);0.1
33;564;0.047(0.047);0.094
35;632;0.05(0.05);0.085
37;706;0.048(0.048);0.085
39;782;0.039(0.039);0.074
41;864;0.045(0.045);0.079
43;948;0.043(0.043);0.074
45;1038;0.041(0.041);0.071
47;1130;0.037(0.037);0.068
49;1228;0.033(0.033);0.064
51;1328;0.034(0.034);0.062
53;1434;0.034(0.034);0.061
55;1542;0.03(0.03);0.054
57;1656;0.034(0.034);0.057
59;1772;0.03(0.03);0.054
61;1894;0.025(0.025);0.05
63;2018;0.029(0.029);0.052
65;2148;0.029(0.029);0.052
67;2280;0.025(0.025);0.05
69;2418;0.027(0.027);0.048
71;2558;0.027(0.027);0.048
73;2704;0.022(0.022);0.045
75;2852;0.024(0.024);0.044
77;3006;0.02(0.02);0.041
79;3162;0.023(0.023);0.041
81;3324;0.023(0.023);0.042
83;3488;0.02(0.02);0.04
85;3658;0.022(0.022);0.04
87;3830;0.022(0.022);0.039
89;4008;0.018(0.018);0.036
91;4188;0.02(0.02);0.036
93;4374;0.018(0.018);0.036
95;4562;0.02(0.02);0.036
97;4756;0.019(0.019);0.034
99;4952;0.016(0.016);0.031
101;5154;0.018(0.018);0.034
103;5358;0.016(0.016);0.031
105;5568;0.018(0.018);0.031
107;5780;0.018(0.018);0.032
109;5998;0.015(0.015);0.03
111;6218;0.017(0.017);0.03
113;6444;0.017(0.017);0.029
115;6672;0.014(0.014);0.027
117;6906;0.016(0.016);0.029
119;7142;0.016(0.016);0.029
121;7384;0.016(0.016);0.028
123;7628;0.015(0.015);0.027
125;7878;0.013(0.013);0.027
127;8130;0.015(0.015);0.027
129;8388;0.014(0.014);0.027
131;8648;0.012(0.012);0.025
133;8914;0.014(0.014);0.025
135;9182;0.012(0.012);0.025
137;9456;0.014(0.014);0.025
139;9732;0.014(0.014);0.024
141;10014;0.013(0.013);0.025
143;10298;0.011(0.011);0.023
145;10588;0.013(0.013);0.023
147;10880;0.01(0.01);0.022
149;11178;0.013(0.013);0.023
151;11478;0.013(0.013);0.023
153;11784;0.01(0.01);0.022
155;12092;0.012(0.012);0.022
157;12406;0.01(0.01);0.021
159;12722;0.012(0.012);0.022
161;13044;0.012(0.012);0.021
163;13368;0.01(0.01);0.02
165;13698;0.011(0.011);0.021
167;14030;0.011(0.011);0.02
169;14368;0.009(0.009);0.02
171;14708;0.011(0.011);0.02
173;15054;0.011(0.011);0.02
175;15402;0.009(0.009);0.02
177;15756;0.01(0.01);0.019
179;16112;0.009(0.009);0.018
181;16474;0.01(0.01);0.019
183;16838;0.011(0.011);0.019
185;17208;0.01(0.01);0.018
187;17580;0.009(0.009);0.018
189;17958;0.008(0.008);0.017
191;18338;0.01(0.01);0.018
193;18724;0.01(0.01);0.018
195;19112;0.01(0.01);0.018
197;19506;0.008(0.008);0.017
199;19902;0.008(0.008);0.017
201;20304;0.01(0.01);0.017
203;20708;0.009(0.009);0.017
205;21118;0.007(0.007);0.016
207;21530;0.009(0.009);0.017
209;21948;0.009(0.009);0.016
211;22368;0.009(0.009);0.016
213;22794;0.007(0.007);0.016
215;23222;0.009(0.009);0.016
217;23656;0.007(0.007);0.016
219;24092;0.009(0.009);0.016
221;24534;0.007(0.007);0.015
223;24978;0.009(0.009);0.016
225;25428;0.008(0.008);0.015
227;25880;0.007(0.007);0.015
229;26338;0.008(0.008);0.015
231;26798;0.008(0.008);0.015
233;27264;0.006(0.006);0.015
235;27732;0.008(0.008);0.015
237;28206;0.006(0.006);0.015
239;28682;0.008(0.008);0.015
241;29164;0.006(0.006);0.014
243;29648;0.006(0.006);0.014
245;30138;0.008(0.008);0.014
247;30630;0.008(0.008);0.014
249;31128;0.006(0.006);0.013
251;31628;0.008(0.008);0.014
253;32134;0.008(0.008);0.014
255;32642;0.007(0.007);0.014
257;33156;0.006(0.006);0.013
259;33672;0.007(0.007);0.013
261;34194;0.006(0.006);0.013
263;34718;0.007(0.007);0.013
265;35248;0.006(0.006);0.013
267;35780;0.007(0.007);0.013
269;36318;0.007(0.007);0.013
271;36858;0.005(0.005);0.012
273;37404;0.007(0.007);0.013
275;37952;0.007(0.007);0.012
277;38506;0.005(0.005);0.012
279;39062;0.007(0.007);0.012
281;39624;0.005(0.005);0.012
283;40188;0.007(0.007);0.012
285;40758;0.007(0.007);0.012
287;41330;0.007(0.007);0.012
289;41908;0.005(0.005);0.011
291;42488;0.007(0.007);0.012
293;43074;0.005(0.005);0.011
295;43662;0.007(0.007);0.012
297;44256;0.005(0.005);0.011
299;44852;0.006(0.006);0.011
301;45454;0.006(0.006);0.011
303;46058;0.006(0.006);0.011
305;46668;0.005(0.005);0.011
307;47280;0.006(0.006);0.011
309;47898;0.005(0.005);0.011
311;48518;0.006(0.006);0.011
313;49144;0.005(0.005);0.011
315;49772;0.006(0.006);0.011
317;50406;0.006(0.006);0.011
319;51042;0.006(0.006);0.011
321;51684;0.005(0.005);0.011
323;52328;0.005(0.005);0.01
