Grid,Domain
:func:`Gauss Laguerre<grid.onedgrid.GaussLaguerre>`,"[0,inf)"
:func:`Gauss Legendre<grid.onedgrid.GaussLegendre>`,"(-1,1)"
:func:`Gauss Chesbyshev<grid.onedgrid.GaussChebyshev>`,"[-1,1]"
:func:`Horton2<grid.onedgrid.HortonLinear>`,"[0,N]"
:func:`Gauss Chebyshev Type2<grid.onedgrid.GaussChebyshevType2>`,"[-1,1]"
:func:`Gauss Chebyshev Lobatto<grid.onedgrid.GaussChebyshevLobatto>`,"[-1,1]"
:func:`Trapezoidal Lobatto<grid.onedgrid.Trapezoidal>`,"[-1,1]"
:func:`Rectangle-Rule Sine EndPoints<grid.onedgrid.RectangleRuleSineEndPoints>`,"[-1,1]"
:func:`Rectangle-Rule Sine<grid.onedgrid.RectangleRuleSine>`,"[-1,1]"
:func:`Tanh Sinh<grid.onedgrid.TanhSinh>`,"[-1,1]"
:func:`Simpson<grid.onedgrid.Simpson>`,"[-1,1]"
:func:`MidPoint<grid.onedgrid.MidPoint>`,"[-1,1]"
:func:`Clenshow Curtis<grid.onedgrid.ClenshawCurtis>`,"[-1,1]"
:func:`Fejer Fisrt<grid.onedgrid.FejerFirst>`,"[-1,1]"
:func:`Fejer Second<grid.onedgrid.FejerSecond>`,"[-1,1]"
:func:`Trefethen CC<grid.onedgrid.TrefethenCC>`,"[-1,1]"
:func:`Trefethen GC2<grid.onedgrid.TrefethenGC2>`,"[-1,1]"
:func:`Trefethen General<grid.onedgrid.TrefethenGeneral>`,"[-1,1]"
:func:`Trefethen Strip CC<grid.onedgrid.TrefethenStripCC>`,"[-1,1]"
:func:`Trefethen Strip GC2<grid.onedgrid.TrefethenStripGC2>`,"[-1,1]"
:func:`Trefethen Strip General<grid.onedgrid.TrefethenStripGeneral>`,"[-1,1]"
