Degree;Number Points;Mean (std) Distance; Max Distance
3;6;0.0(0.0);0.0
5;18;0.0(0.0);0.0
7;26;0.14(0.15);0.31
9;38;0.19(0.15);0.31
11;50;0.15(0.15);0.31
13*;74;0.11(0.082);0.2
15;86;0.052(0.042);0.12
17;110;0.065(0.047);0.14
19;146;0.048(0.048);0.14
21;170;0.035(0.027);0.089
23;194;0.061(0.047);0.16
25*;230;0.058(0.036);0.12
27*;266;0.045(0.035);0.13
29;302;0.055(0.036);0.14
31;350;0.042(0.028);0.1
35;434;0.054(0.021);0.092
41;590;0.048(0.019);0.082
47;770;0.043(0.017);0.074
53;974;0.038(0.015);0.065
59;1202;0.035(0.014);0.06
65;1454;0.032(0.012);0.054
71;1730;0.03(0.011);0.05
77;2030;0.027(0.011);0.047
83;2354;0.026(0.0099);0.043
89;2702;0.024(0.0093);0.041
95;3074;0.023(0.0088);0.039
101;3470;0.021(0.0083);0.036
107;3890;0.02(0.0078);0.035
113;4334;0.019(0.0075);0.033
119;4802;0.018(0.007);0.031
125;5294;0.018(0.0066);0.03
