Degree;Number Points;Mean (std) Distance; Max Distance
1;2;0.0(0.0);0.0
3;6;0.34(0.24);0.55
5;12;0.22(0.13);0.35
7;32;0.16(0.076);0.26
9;48;0.14(0.071);0.26
11;70;0.14(0.045);0.23
13;94;0.12(0.047);0.2
15;120;0.11(0.041);0.19
17;156;0.088(0.038);0.16
19;192;0.078(0.036);0.14
21;234;0.077(0.033);0.14
23;278;0.075(0.027);0.13
25;328;0.066(0.029);0.11
27;380;0.061(0.023);0.11
29;438;0.057(0.024);0.1
31;498;0.06(0.021);0.1
33;564;0.047(0.02);0.094
35;632;0.05(0.019);0.085
37;706;0.048(0.018);0.085
39;782;0.039(0.017);0.074
41;864;0.045(0.017);0.079
43;948;0.043(0.015);0.074
45;1038;0.041(0.015);0.071
47;1130;0.037(0.014);0.068
49;1228;0.033(0.014);0.064
51;1328;0.034(0.013);0.062
53;1434;0.034(0.013);0.061
55;1542;0.03(0.012);0.054
57;1656;0.034(0.011);0.057
59;1772;0.03(0.011);0.054
61;1894;0.025(0.011);0.05
63;2018;0.029(0.011);0.052
65;2148;0.029(0.011);0.052
67;2280;0.025(0.01);0.05
69;2418;0.027(0.0095);0.048
71;2558;0.027(0.0093);0.048
73;2704;0.022(0.0095);0.045
75;2852;0.024(0.0091);0.044
77;3006;0.02(0.0085);0.041
79;3162;0.023(0.0086);0.041
81;3324;0.023(0.0084);0.042
83;3488;0.02(0.0081);0.04
85;3658;0.022(0.0083);0.04
87;3830;0.022(0.0081);0.039
89;4008;0.018(0.0076);0.036
91;4188;0.02(0.0073);0.036
93;4374;0.018(0.0075);0.036
95;4562;0.02(0.0074);0.036
97;4756;0.019(0.007);0.034
99;4952;0.016(0.0067);0.031
101;5154;0.018(0.0067);0.034
103;5358;0.016(0.0064);0.031
105;5568;0.018(0.0064);0.031
107;5780;0.018(0.0063);0.032
109;5998;0.015(0.0062);0.03
111;6218;0.017(0.0062);0.03
113;6444;0.017(0.0061);0.029
115;6672;0.014(0.006);0.027
117;6906;0.016(0.006);0.029
119;7142;0.016(0.0056);0.029
121;7384;0.016(0.0056);0.028
123;7628;0.015(0.0056);0.027
125;7878;0.013(0.0054);0.027
127;8130;0.015(0.0056);0.027
129;8388;0.014(0.0053);0.027
131;8648;0.012(0.0051);0.025
133;8914;0.014(0.0054);0.025
135;9182;0.012(0.005);0.025
137;9456;0.014(0.0052);0.025
139;9732;0.014(0.0048);0.024
141;10014;0.013(0.005);0.025
143;10298;0.011(0.0047);0.023
145;10588;0.013(0.0049);0.023
147;10880;0.01(0.0047);0.022
149;11178;0.013(0.0047);0.023
151;11478;0.013(0.0045);0.023
153;11784;0.01(0.0044);0.022
155;12092;0.012(0.0045);0.022
157;12406;0.01(0.0043);0.021
159;12722;0.012(0.0044);0.022
161;13044;0.012(0.0044);0.021
163;13368;0.0096(0.0042);0.02
165;13698;0.011(0.0043);0.021
167;14030;0.011(0.0042);0.02
169;14368;0.0092(0.004);0.02
171;14708;0.011(0.004);0.02
173;15054;0.011(0.004);0.02
175;15402;0.0086(0.0039);0.02
177;15756;0.01(0.004);0.019
179;16112;0.0085(0.0039);0.018
181;16474;0.01(0.0038);0.019
183;16838;0.011(0.0037);0.019
185;17208;0.01(0.0038);0.018
187;17580;0.0087(0.0036);0.018
189;17958;0.0081(0.0036);0.017
191;18338;0.0098(0.0036);0.018
193;18724;0.0099(0.0036);0.018
195;19112;0.0098(0.0035);0.018
197;19506;0.0078(0.0034);0.017
199;19902;0.0076(0.0034);0.017
201;20304;0.0095(0.0034);0.017
203;20708;0.0094(0.0033);0.017
205;21118;0.0075(0.0033);0.016
207;21530;0.0091(0.0033);0.017
